REFERENCIA;EAN;CATEGORIA;LAYOUT;PORQUE ESTE LAYOUT;NOME NA ORIGEM;NOME PT PROPOSTO;CARACTERES;LIMITE;ABREVIATURAS APLICADAS;SELOS COM EVIDENCIA NO TEXTO;SELOS CORTADOS PELO LIMITE;APLICACOES CORTADAS;ALERTAS
231.006.861;7896779689125;Coloratto;1;capacidade 270 ml;Kit Pote Raso Coloratto com 2 Peças - 270ml (289/K);Kit Pote Raso Coloratto c/ 2 Pçs;32;28;"Peças>Pçs; com>c/";;LAV,EMP;MASS;NOME PT EXCEDE LIMITE (32>28)
231.006.862;7896779691111;Coloratto;1;capacidade 270 ml;Kit Pote Raso Coloratto com 3 Peças - 270ml (291/K);Kit Pote Raso Coloratto c/ 3 Pçs;32;28;"Peças>Pçs; com>c/";;LAV,EMP;MASS;NOME PT EXCEDE LIMITE (32>28)
231.006.P01;7896779631032;POP;1;capacidade 270 ml;Kit POP com 6 Potes Retangular - Transparente 270ml;Kit POP com 6 Potes Retang.;27;28;Retangular>Retang.;TRP;LAV,EMP,TRP;ACUC,FARI,MASS;SEM DESCRICAO NA ORIGEM
231.012.001;7896779631148;Potes;1;capacidade 270 ml;Pote Raso com Travas - Transparente 270ml;Pote Raso com Travas;20;28;;HER,TRP;HER,LAV,EMP,TRP;ACUC,FARI,MASS,BISC,TEMP;
231.012.003;7896779623181;Potes;1;capacidade 270 ml;Pote Raso com Travas - Preto 270ml;Pote Raso com Travas;20;28;;HER;HER,LAV,EMP;ACUC,FARI,MASS,BISC,TEMP;SEM DESCRICAO NA ORIGEM
232.006.861;7896779632824;Coloratto;2;capacidade 500 ml;Kit Pote Raso Coloratto com 2 Peças - 500ml;Kit Pote Raso Coloratto com 2 Pçs;33;34;Peças>Pçs;;EMP;;
232.006.862;7896779632855;Coloratto;2;capacidade 500 ml;Kit Pote Raso Coloratto com 3 Peças - 500ml;Kit Pote Raso Coloratto com 3 Pçs;33;34;Peças>Pçs;;EMP;;
232.012.001;7896779632145;Potes;2;capacidade 500 ml;Pote Raso com Travas - Transparente 500ml;Pote Raso com Travas;20;34;;HER,BPA,TRP;LAV,EMP,TRP;FARI,MASS,BISC,TEMP;
232.012.003;7896779623297;Potes;2;capacidade 500 ml;Pote Raso com Travas - Preto 500ml;Pote Raso com Travas;20;34;;HER;LAV,EMP;FARI,MASS,BISC,TEMP;SEM DESCRICAO NA ORIGEM
233.012.001;7896779633111;Potes;3;capacidade 1100 ml;Pote Raso com Travas - Transparente 1,1L;Pote Raso com Travas;20;40;;HER,TRP;TRP;BISC,TEMP;
233.012.003;7896779623396;Potes;3;capacidade 1100 ml;Pote Raso com Travas - Preto 1,1L;Pote Raso com Travas;20;40;;HER;;BISC,TEMP;SEM DESCRICAO NA ORIGEM
234.012.001;7896779623419;Potes;3;capacidade 2300 ml;Pote Raso com Travas - Transparente 2,3L;Pote Raso com Travas;20;40;;HER,TRP;TRP;BISC,TEMP;
234.012.003;7896779623495;Potes;3;capacidade 2300 ml;Pote Raso com Travas - Preto 2,3L;Pote Raso com Travas;20;40;;HER;;BISC,TEMP;SEM DESCRICAO NA ORIGEM
235.012.001;7896779635207;Potes;2;capacidade 500 ml;Pote Acoplado com Rosca - Transparente 500ml;Pote Acoplado com Rosca;23;34;;TRP;EMP,TRP;FARI,MASS,BISC,TEMP;DIMENSAO E DIAMETRO
235.012.002;7896779623518;Potes;2;capacidade 500 ml;Pote Acoplado com Rosca - Branco 500ml;Pote Acoplado com Rosca;23;34;;HER,HIG;LAV,EMP,HIG;FARI,MASS,BISC,TEMP;DIMENSAO E DIAMETRO
235.012.003;7896779623532;Potes;2;capacidade 500 ml;Pote Acoplado com Rosca - Preto 500ml;Pote Acoplado com Rosca;23;34;;;EMP;FARI,MASS,BISC,TEMP;DIMENSAO E DIAMETRO | SEM DESCRICAO NA ORIGEM
235.012.671;7896779623563;Potes;2;capacidade 500 ml;Pote Acoplado com Rosca - Sal 500ml;Pote Acoplado com Rosca - Sal;29;34;;;EMP;FARI,MASS,BISC,TEMP;SEM NOME EN | SEM NOME ES | DIMENSAO E DIAMETRO | SEM DESCRICAO NA ORIGEM
236.012.001;7896779636211;Potes;2;capacidade 1000 ml;Pote Acoplado com Rosca - Transparente 1L;Pote Acoplado com Rosca;23;34;;MIC,FRZ,HER,LAV,TRP;FRZ,HER,LAV,EMP,TRP;FARI,MASS,BISC,TEMP;DIMENSAO E DIAMETRO
236.012.002;7896779623648;Potes;2;capacidade 1000 ml;Pote Acoplado com Rosca - Branco 1L;Pote Acoplado com Rosca;23;34;;HER,EMP,BPA,HIG;LAV,EMP,HIG;FARI,MASS,BISC,TEMP;DIMENSAO E DIAMETRO
236.012.003;7896779623655;Potes;2;capacidade 1000 ml;Pote Acoplado com Rosca - Preto 1L;Pote Acoplado com Rosca;23;34;;;EMP;FARI,MASS,BISC,TEMP;DIMENSAO E DIAMETRO | SEM DESCRICAO NA ORIGEM
236.012.667;7896779636129;Potes;2;capacidade 1000 ml;Pote Sal Grosso Acoplado com Rosca - 1L (236/SG);Pote Sal Grosso Acoplado com Rosca;34;34;;;EMP;FARI,MASS,BISC,TEMP;DIMENSAO E DIAMETRO
236.012.668;7896779623679;Potes;2;capacidade 1000 ml;Pote Sal Grosso Acoplado com Rosca - 1L Café;Pote Sal Grosso Acopl. c/ Rosca - Café;38;34;"com>c/; Acoplado>Acopl.";;EMP;FARI,MASS,BISC,TEMP;SEM NOME EN | SEM NOME ES | NOME PT EXCEDE LIMITE (38>34) | DIMENSAO E DIAMETRO | SEM DESCRICAO NA ORIGEM
236.012.669;7896779623686;Potes;2;capacidade 1000 ml;Pote Sal Grosso Acoplado com Rosca - 1L Arroz;Pote Sal Grosso Acopl. c/ Rosca - Arroz;39;34;"com>c/; Acoplado>Acopl.";;EMP;FARI,MASS,BISC,TEMP;SEM NOME EN | SEM NOME ES | NOME PT EXCEDE LIMITE (39>34) | DIMENSAO E DIAMETRO | SEM DESCRICAO NA ORIGEM
236.012.670;7896779636105;Potes;2;capacidade 1000 ml;Pote Sal Grosso Acoplado com Rosca - 1L Farinha;Pote Sal Grosso Acopl. c/ Rosca - Farinha;41;34;"com>c/; Acoplado>Acopl.";;EMP;CAFE,MASS,BISC,TEMP;SEM NOME EN | SEM NOME ES | NOME PT EXCEDE LIMITE (41>34) | DIMENSAO E DIAMETRO | SEM DESCRICAO NA ORIGEM
236.012.671;7896779636150;Potes;2;capacidade 1000 ml;Pote Sal Grosso Acoplado com Rosca - 1L Feijão;Pote Sal Grosso Acopl. c/ Rosca - Feijão;40;34;"com>c/; Acoplado>Acopl.";;EMP;FARI,MASS,BISC,TEMP;SEM NOME EN | SEM NOME ES | NOME PT EXCEDE LIMITE (40>34) | DIMENSAO E DIAMETRO | SEM DESCRICAO NA ORIGEM
236.012.672;7896779636167;Potes;2;capacidade 1000 ml;Pote Sal Grosso Acoplado com Rosca - 1L Açucar;Pote Sal Grosso Acopl. c/ Rosca - Açucar;40;34;"com>c/; Acoplado>Acopl.";;EMP;FARI,MASS,BISC,TEMP;SEM NOME EN | SEM NOME ES | NOME PT EXCEDE LIMITE (40>34) | DIMENSAO E DIAMETRO | SEM DESCRICAO NA ORIGEM
237.006.002;7896779623754;Potes;3;capacidade 5800 ml;Pote Acoplado com Copo Medidor - Branco 5,8L;Pote Acoplado com Copo Medidor;30;40;;;;MASS,BISC,TEMP;DIMENSAO E DIAMETRO
237.006.003;7896779623778;Potes;3;capacidade 5800 ml;Pote Acoplado com Copo Medidor - Preto 5,8L;Pote Acoplado com Copo Medidor;30;40;;;;MASS,BISC,TEMP;DIMENSAO E DIAMETRO
238.012.001;7896779638192;Potes;3;capacidade 2000 ml;Pote Acoplado com Rosca - Transparente 2L;Pote Acoplado com Rosca;23;40;;HER,EMP,ATX,BPA,TRP;TRP;BISC,TEMP;DIMENSAO E DIAMETRO
238.012.002;7896779628339;Potes;3;capacidade 2000 ml;Pote Acoplado com Rosca - Branco 2L;Pote Acoplado com Rosca;23;40;;HER,EMP,ATX,BPA;;BISC,TEMP;DIMENSAO E DIAMETRO
238.012.003;7896779623860;Potes;3;capacidade 2000 ml;Pote Acoplado com Rosca - Preto 2L;Pote Acoplado com Rosca;23;40;;;;BISC,TEMP;DIMENSAO E DIAMETRO | SEM DESCRICAO NA ORIGEM
239.012.001;7896779639205;Potes;3;capacidade 3000 ml;Pote Acoplado com Rosca - Transparente 3L;Pote Acoplado com Rosca;23;40;;TRP;;BISC,TEMP;DIMENSAO E DIAMETRO
239.012.002;7896779623945;Potes;3;capacidade 3000 ml;Pote Acoplado com Rosca - Branco 3L;Pote Acoplado com Rosca;23;40;;;;BISC,TEMP;DIMENSAO E DIAMETRO
239.012.003;7896779623952;Potes;3;capacidade 3000 ml;Pote Acoplado com Rosca - Preto 3L;Pote Acoplado com Rosca;23;40;;;;BISC,TEMP;DIMENSAO E DIAMETRO | SEM DESCRICAO NA ORIGEM
240.024.001;7896779602407;Micro-ondas;3;capacidade 3000 ml;Cook Freezer Micro-ondas - Transparente 3L;Cook Freezer Micro-ondas;24;40;;MIC,FRZ,TRP;TRP;;CATEGORIA NORMALIZADA (Microondas)
241.006.P01;7896779624164;POP;2;capacidade 460 ml;Kit POP com 6 Potes com Valvula - Transparente 460ml;Kit POP com 6 Potes com Valvula;31;34;;VLV,TRP;LAV,EMP,TRP;FARI,MASS;SEM DESCRICAO NA ORIGEM
241.024.001;7896779602414;Potes;2;capacidade 460 ml;Pote Raso com Válvula - 460ml (241);Pote Raso com Válvula;21;34;;VLV;LAV,EMP;FARI,MASS,BISC,TEMP;
242.024.001;7896779602421;Potes;2;capacidade 950 ml;Pote Raso com Válvula - 950ml (242);Pote Raso com Válvula;21;34;;MIC,FRZ,HER,VLV,LAV,ATX,BPA,HIG;FRZ,HER,VLV,LAV,EMP,HIG;CAFE,ACUC,FARI,MASS,BISC,TEMP;
243.024.001;7896779602438;Potes;3;capacidade 1900 ml;Pote Raso com Válvula - 1,9L (243);Pote Raso com Válvula;21;40;;MIC,FRZ,VLV,LAV,BPA;LAV,EMP;BISC,TEMP;
244.012.001;7896779602445;Potes;3;capacidade 3200 ml;Pote Raso com Válvula - 3,2L (244);Pote Raso com Válvula;21;40;;MIC,FRZ,VLV,LAV,BPA;LAV,EMP;BISC,TEMP;
245.012.029;7896779602452;Potes;2;capacidade 500 ml;Pote Feijão Acoplado com Rosca - 500ml (245);Pote Feijão Acoplado com Rosca;30;34;;HER,ATX,BPA,FCL;LAV,EMP,FCL;MANT,CAFE,ACUC,TEMP;DIMENSAO E DIAMETRO
246.024.001;7896779602469;Potes;2;capacidade 868 ml;Pote Alto com Válvula - 868ml (246);Pote Alto com Válvula;21;34;;HER,VLV;VLV,LAV,EMP;ACUC,FARI,MASS,BISC,TEMP;
248.012.009;7896779602483;Potes;2;capacidade 500 ml;Pote Tomatinho Acoplado com Rosca - 500ml (248);Pote Tomatinho Acoplado com Rosca;33;34;;HER,EMP,ATX,BPA,FCL;LAV,EMP,FCL;ACUC,FARI,MASS,BISC;DIMENSAO E DIAMETRO
249.012.020;7896779602490;Potes;2;capacidade 500 ml;Pote Temperos Acoplado com Rosca - 500ml (249);Pote Temperos Acoplado com Rosca;32;34;;;EMP;ACUC,FARI,MASS,BISC;DIMENSAO E DIAMETRO
250.024.009;7896779612505;Micro-ondas;3;capacidade 1500 ml;Caçarola Micro-ondas com Cesto - Transparente 1,5L (250);Caçarola Micro-ondas com Cesto;30;40;;MIC,TRP;;;
2500.012.001;7896779650156;Potes;2;capacidade 868 ml;Pote Raso Retangular - Transparente 868ml (250);Pote Raso Retangular;20;34;;TRP;EMP,TRP;FARI,MASS,BISC,TEMP;
2500.012.003;7896779625093;Potes;2;capacidade 868 ml;Pote Raso Retangular - Preto 868ml;Pote Raso Retangular;20;34;;;EMP;FARI,MASS,BISC,TEMP;SEM DESCRICAO NA ORIGEM
251.012.001;7896779625178;Micro-ondas;2;capacidade 850 ml;Caçarola Mini Micro-ondas - Transparente 850ml;Caçarola Mini Micro-ondas;25;34;;MIC,TRP;LAV,TRP;;
254.006.001;7896779654109;Organização;4;categoria Organização;Gaveteiro Modular Rattan - Transparente 8,2L (254/NT);Gaveteiro Modular Rattan;24;44;;TRP;;;
254.006.002;7896779654123;Organização;4;categoria Organização;Gaveteiro Modular Rattan - Branco 8,2L (254/B);Gaveteiro Modular Rattan;24;44;;;;;
254.006.003;7896779625413;Organização;4;categoria Organização;Gaveteiro Modular Rattan - Preto 8,2L (254/P);Gaveteiro Modular Rattan;24;44;;;;;
2540.012.001;7896779602544;Potes;3;capacidade 1500 ml;Kit Potes Rasos Retang. com 3 Peças - Transparente (025/4);Kit Potes Rasos Retang. com 3 Peças;35;40;;TRP;;BISC,TEMP;CAPACIDADE MULTIPLA NA ORIGEM
2540.012.003;7896779625499;Potes;3;capacidade 1500 ml;Kit Potes Rasos Retang. com 3 Peças - Preto;Kit Potes Rasos Retang. com 3 Peças;35;40;;;;BISC,TEMP;CAPACIDADE MULTIPLA NA ORIGEM | SEM DESCRICAO NA ORIGEM
255.036.016;7896779602551;Cozinha;2;face 119 cm2;Forma de Gelo Firenze com Tampa (255);Forma de Gelo Firenze com Tampa;31;34;;FRZ,EMP,BPA,HIG;LAV,EMP,HIG;;SEM CAPACIDADE
256.006.M02;7896779656042;Teca;4;categoria Teca;Caixa Juta Alongada com Tampa Teca - Branca 1,5L;Caixa Juta Alongada com Tampa Teca;34;44;;;;;
256.006.M03;7896779656035;Teca;4;categoria Teca;Caixa Juta Alongada com Tampa Teca - Preta 1,5L;Caixa Juta Alongada com Tampa Teca;34;44;;;;;
256.024.002;7896779625642;Organização;4;categoria Organização;Cesto Alongado Juta - Branco1,5L (256/B);Cesto Alongado Juta;19;44;;HIG;;;
256.024.003;7896779625611;Organização;4;categoria Organização;Cesto Alongado Juta - Preto1,5L (256/B);Cesto Alongado Juta;19;44;;;;;
256.024.086;7896779656202;Organização;4;categoria Organização;Cesto Alongado Juta - Chumbo1,5L (256/B);Cesto Alongado Juta;19;44;;;;;
257.006.M02;7896779657049;Teca;4;categoria Teca;Caixa Juta Alongada com Tampa Teca - Branca 3,7L;Caixa Juta Alongada com Tampa Teca;34;44;;;;;
257.006.M03;7896779657032;Teca;4;categoria Teca;Caixa Juta Alongada com Tampa Teca - Preta 3,7L;Caixa Juta Alongada com Tampa Teca;34;44;;;;;
257.012.002;7896779625741;Organização;4;categoria Organização;Cesto Alongado Juta - Branco3,7L (257/B);Cesto Alongado Juta;19;44;;;;;
257.012.003;7896779625710;Organização;4;categoria Organização;Cesto Alongado Juta - Preto3,7L (257/B);Cesto Alongado Juta;19;44;;;;;
257.012.086;7896779657209;Organização;4;categoria Organização;Cesto Alongado Juta - Chumbo3,7L (257/B);Cesto Alongado Juta;19;44;;;;;
2570.012.001;7896779602575;Potes;3;capacidade 4600 ml;Pote Raso Retangular - Transparente 4,6L (025/7);Pote Raso Retangular;20;40;;ATX,TRP;;FARI,BISC,TEMP;
2570.012.003;7896779657162;Potes;3;capacidade 4600 ml;Pote Raso Retangular - Preto 4,6L;Pote Raso Retangular;20;40;;;;BISC,TEMP;SEM DESCRICAO NA ORIGEM
258.004.M02;7896779658046;Teca;4;categoria Teca;Caixa Juta Alongada com Tampa Teca - Branca 7,4L;Caixa Juta Alongada com Tampa Teca;34;44;;FCL;;;CATEGORIA NORMALIZADA (teca)
258.004.M03;7896779658039;Teca;4;categoria Teca;Caixa Juta Alongada com Tampa Teca - Preta 7,4L;Caixa Juta Alongada com Tampa Teca;34;44;;FCL;;;CATEGORIA NORMALIZADA (teca)
258.006.002;7896779625840;Organização;4;categoria Organização;Cesto Alongado Juta - Branco 7,4L (258/B);Cesto Alongado Juta;19;44;;;;;
258.006.003;7896779625819;Organização;4;categoria Organização;Cesto Alongado Juta - Preto 7,4L (258/B);Cesto Alongado Juta;19;44;;;;;
258.006.086;7896779688623;Organização;4;categoria Organização;Cesto Alongado Juta - Chumbo 7,4L (258/B);Cesto Alongado Juta;19;44;;;;;
2580.012.001;7896779658152;Potes;3;capacidade 2900 ml;Pote Raso Retangular - Transparente 2,9L (258/B);Pote Raso Retangular;20;40;;TRP;;BISC,TEMP;
2580.012.003;7896779625895;Potes;3;capacidade 2900 ml;Pote Raso Retangular - Preto 2,9L;Pote Raso Retangular;20;40;;;;BISC,TEMP;SEM DESCRICAO NA ORIGEM
259.012.002;7896779625949;Organização;4;categoria Organização;Caixa Organizadora Baixa Rattan com Tampa - Branca 3,2L (259/B);Caixa Organizadora Baixa Rattan com Tampa;41;44;;;;;
259.012.003;7896779625918;Organização;4;categoria Organização;Caixa Organizadora Baixa Rattan com Tampa - Preta 3,2L (259/P);Caixa Organizadora Baixa Rattan com Tampa;41;44;;EMP;;;
259.012.086;7896779659197;Organização;4;categoria Organização;Caixa Organizadora Baixa Rattan com Tampa - Chumbo 3,2L;Caixa Organizadora Baixa Rattan com Tampa;41;44;;EMP,BPA;;;
2590.012.001;7896779659142;Potes;3;capacidade 1500 ml;Pote Raso Retangular - Transparente 1,5L (259/B);Pote Raso Retangular;20;40;;TRP;;BISC,TEMP;
2590.012.003;7896779625994;Potes;3;capacidade 1500 ml;Pote Raso Retangular - Preto 1,5L;Pote Raso Retangular;20;40;;;;BISC,TEMP;SEM DESCRICAO NA ORIGEM
260.012.002;7896779626045;Organização;4;categoria Organização;Caixa Organizadora Baixa Rattan com Tampa - Branca 4,5L (260/B);Caixa Organizadora Baixa Rattan com Tampa;41;44;;EMP;;;
260.012.003;7896779660155;Organização;4;categoria Organização;Caixa Organizadora Baixa Rattan com Tampa - Preta 4,5L;Caixa Organizadora Baixa Rattan com Tampa;41;44;;EMP;;;
260.012.086;7896779660209;Organização;4;categoria Organização;Caixa Organizadora Baixa Rattan com Tampa - Chumbo 4,5L;Caixa Organizadora Baixa Rattan com Tampa;41;44;;EMP,BPA,HIG;;;
261.006.002;7896779626144;Organização;4;categoria Organização;Caixa Organizadora Baixa Rattan com Tampa - Branca 7L (261/B);Caixa Organizadora Baixa Rattan com Tampa;41;44;;EMP;;;
261.006.003;7896779626113;Organização;4;categoria Organização;Caixa Organizadora Baixa Rattan com Tampa - Preta 7L;Caixa Organizadora Baixa Rattan com Tampa;41;44;;EMP,HIG;;;
261.006.086;7896779618644;Organização;4;categoria Organização;Caixa Organizadora Baixa Rattan com Tampa - Chumbo 7L;Caixa Organizadora Baixa Rattan com Tampa;41;44;;EMP,BPA,HIG;;;
268.006.M02;7896779668830;Teca;4;categoria Teca;Caixa Juta Europa com Tampa Teca - Branca 5,3L;Caixa Juta Europa com Tampa Teca;32;44;;EMP,HIG;;;
268.006.M03;7896779668847;Teca;4;categoria Teca;Caixa Juta Europa com Tampa Teca - Preta 5,3L;Caixa Juta Europa com Tampa Teca;32;44;;EMP,HIG;;;
268.012.002;7896779626847;Organização;4;categoria Organização;Cesto Europa Juta - Branco 5,3L (268/B);Cesto Europa Juta;17;44;;BPA;;;
268.012.003;7896779626816;Organização;4;categoria Organização;Cesto Europa Juta - Preto 5,3L (268/B);Cesto Europa Juta;17;44;;;;;
269.004.M02;7896779669936;Teca;4;categoria Teca;Caixa Juta Europa com Tampa Teca - Branca 10,8L;Caixa Juta Europa com Tampa Teca;32;44;;EMP,HIG;;;
269.004.M03;7896779669943;Teca;4;categoria Teca;Caixa Juta Europa com Tampa Teca - Preta 10,8L;Caixa Juta Europa com Tampa Teca;32;44;;EMP,HIG;;;
269.012.002;7896779626946;Organização;4;categoria Organização;Cesto Europa Juta - Branco 10,8L (269/B);Cesto Europa Juta;17;44;;;;;
269.012.003;7896779626915;Organização;4;categoria Organização;Cesto Europa Juta - Preto 10,8L;Cesto Europa Juta;17;44;;;;;
270.002.M02;7896779670086;Teca;4;categoria Teca;Caixa Juta Europa com Tampa Teca - BRANCA 18,7L;Caixa Juta Europa com Tampa Teca;32;44;;EMP;;;
270.002.M03;7896779627059;Teca;4;categoria Teca;Caixa Juta Europa com Tampa Teca - PRETA18,7L;Caixa Juta Europa com Tampa Teca;32;44;;EMP,HIG;;;
270.006.002;7896779627042;Organização;4;categoria Organização;Cesto Europa Juta - Branco 18,7L (270/B);Cesto Europa Juta;17;44;;BPA;;;
270.006.003;7896779627011;Organização;4;categoria Organização;Cesto Europa Juta - Preto 18,7L;Cesto Europa Juta;17;44;;;;;
277.012.002;7896779627745;Organização;4;categoria Organização;Cesto Juta com Alça - Branco 5,6L (277/B);Cesto Juta com Alça;19;44;;;;;
277.012.003;7896779677146;Organização;4;categoria Organização;Cesto Juta com Alça - Preto 5,6L;Cesto Juta com Alça;19;44;;;;;
279.012.024;7896779679126;Potes;2;capacidade 500 ml;Pote Alho Acoplado com Rosca - 500ml (279);Pote Alho Acoplado com Rosca;28;34;;MIC,FRZ,HER,EMP,BPA;FRZ,HER,LAV,EMP;CAFE,ACUC,FARI,MASS,BISC;DIMENSAO E DIAMETRO
281.036.999;7896779681129;Potes;1;capacidade 150 ml;Concha para Cereais - Sortido - 150ml (281);Concha para Cereais;19;28;;BPA;LAV,EMP;ACUC,FARI,MASS,BISC,TEMP;
283.004.002;7896779628339;Lixeiras;3;categoria Lixeiras;Lixeira Juta com Pedal - Branca 12L;Lixeira Juta com Pedal;22;40;;PED,HIG;;;EAN DUPLICADO (tambem em 238.012.002)
283.004.003;7896779683116;Lixeiras;3;categoria Lixeiras;Lixeira Juta com Pedal - Preta 12L;Lixeira Juta com Pedal;22;40;;HER,PED,HIG;;;
283.004.086;7896779683215;Lixeiras;3;categoria Lixeiras;Lixeira Juta com Pedal - Chumbo 12L;Lixeira Juta com Pedal;22;40;;HER,PED,HIG;;;
284.012.002;7896779628445;Limpeza;3;face 570 cm2;Cesto Transporta Tudo - Branco (284/B);Cesto Transporta Tudo;21;40;;;;;SEM CAPACIDADE
284.012.003;7896779628414;Limpeza;3;face 570 cm2;Cesto Transporta Tudo - Preto (284/P);Cesto Transporta Tudo;21;40;;;;;SEM CAPACIDADE
293.006.002;7896779693122;Potes;3;face 523 cm2;Kit Potes Acoplados com 5 Peças - Branco;Kit Potes Acoplados com 5 Peças;31;40;;HER;;BISC,TEMP;SEM CAPACIDADE | DIMENSAO E DIAMETRO
293.006.003;7896779629329;Potes;3;face 523 cm2;Kit Potes Acoplados com 5 Peças - Preto;Kit Potes Acoplados com 5 Peças;31;40;;HER;;MASS,BISC,TEMP;SEM CAPACIDADE | DIMENSAO E DIAMETRO
300.012.001;7896779630011;Potes;2;capacidade 460 ml;Pote Raso Retangular - Transparente 460ml;Pote Raso Retangular;20;34;;TRP;EMP,TRP;FARI,MASS,BISC,TEMP;
300.012.003;7896779630097;Potes;2;capacidade 460 ml;Pote Raso Retangular - Preto 460ml;Pote Raso Retangular;20;34;;;EMP;FARI,MASS,BISC,TEMP;SEM DESCRICAO NA ORIGEM
301.012.001;7896779601158;Potes;2;capacidade 950 ml;Pote Raso Retangular - Transparente 950ml;Pote Raso Retangular;20;34;;TRP;EMP,TRP;FARI,MASS,BISC,TEMP;
301.012.003;7896779630196;Potes;2;capacidade 950 ml;Pote Raso Retangular - Preto 950ml;Pote Raso Retangular;20;34;;;EMP;FARI,MASS,BISC,TEMP;SEM DESCRICAO NA ORIGEM
302.012.001;7896779630219;Potes;3;capacidade 1900 ml;Pote Raso Retangular - Transparente 1,9L;Pote Raso Retangular;20;40;;TRP;;BISC,TEMP;
302.012.003;7896779630295;Potes;3;capacidade 1900 ml;Pote Raso Retangular - Preto 1,9L;Pote Raso Retangular;20;40;;;;BISC,TEMP;SEM DESCRICAO NA ORIGEM
303.012.001;7896779603152;Potes;3;capacidade 3200 ml;Pote Raso Retangular - Transparente 3,2L;Pote Raso Retangular;20;40;;TRP;;BISC,TEMP;
303.012.003;7896779630370;Potes;3;capacidade 3200 ml;Pote Raso Retangular - Preto 3,2L;Pote Raso Retangular;20;40;;;;BISC,TEMP;SEM DESCRICAO NA ORIGEM
305.006.520;7896779605156;Cozinha;2;capacidade 650 ml;Travessa Oval Canelada com Tampa - Branca 650ml;Travessa Oval Canelada com Tampa;32;34;;;;;
306.006.520;7896779630615;Cozinha;3;capacidade 1200 ml;Travessa Oval Canelada com Tampa - Branca 1,2L;Travessa Oval Canelada com Tampa;32;40;;;;;
307.006.520;7896779630714;Cozinha;3;capacidade 2500 ml;Travessa Oval Canelada com Tampa - Branca 2,5L;Travessa Oval Canelada com Tampa;32;40;;;;;
308.006.520;7896779630813;Organização;4;categoria Organização;Organiza e Guarda com 3 Divisórias;Organiza e Guarda com 3 Divisórias;34;44;;;;;SEM CAPACIDADE
311.012.001;7896779600090;Potes;2;capacidade 780 ml;Mamita e Pote 2 em 1 - Transparente 780ml;Mamita e Pote 2 em 1;20;34;;TRP;EMP,TRP;FARI,MASS,BISC,TEMP;SEM NOME EN | SEM NOME ES | SEM DESCRICAO NA ORIGEM
311.012.002;7896779618194;Potes;2;capacidade 780 ml;Mamita e Pote 2 em 1 - Branco 780ml;Mamita e Pote 2 em 1;20;34;;;EMP;FARI,MASS,BISC,TEMP;
311.012.515;7896779611157;Potes;2;capacidade 780 ml;Mamita & Pote 2 em 1 - Rosa 780ml;Mamita & Pote 2 em 1;20;34;;;EMP;FARI,MASS,BISC,TEMP;
311.012.517;7896779631131;Potes;2;capacidade 780 ml;Mamita & Pote 2 em 1 - Verde 780ml;Mamita & Pote 2 em 1;20;34;;;EMP;FARI,MASS,BISC,TEMP;
313.006.560;7896779613038;Organização;4;categoria Organização;Organizador de Cosméticos com 2 Gavetas - Preta;Organizador de Cosméticos com 2 Gavetas;39;44;;;;;SEM CAPACIDADE
313.006.561;7896779613076;Organização;4;categoria Organização;Organizador de Cosméticos com 2 Gavetas - Branca;Organizador de Cosméticos com 2 Gavetas;39;44;;;;;SEM CAPACIDADE
313.006.562;7896779613052;Organização;4;categoria Organização;Organizador de Cosméticos com 2 Gavetas - Rosa;Organizador de Cosméticos com 2 Gavetas;39;44;;;;;SEM CAPACIDADE
314.006.560;7896779614011;Organização;4;categoria Organização;Organizador de Cosméticos com 1 Gaveta - Preta;Organizador de Cosméticos com 1 Gaveta;38;44;;;;;SEM CAPACIDADE
314.006.561;7896779614066;Organização;4;categoria Organização;Organizador de Cosméticos com 1 Gaveta - Branca;Organizador de Cosméticos com 1 Gaveta;38;44;;;;;SEM CAPACIDADE
314.006.562;7896779614028;Organização;4;categoria Organização;Organizador de Cosméticos com 1 Gaveta - Rosa;Organizador de Cosméticos com 1 Gaveta;38;44;;;;;SEM CAPACIDADE
317.006.P01;7896779631742;POP;2;capacidade 500 ml;Kit POP com 5 Marmitas Fits - Transparente 500ml;Kit POP com 5 Marmitas Fits;27;34;;TRP;EMP,TRP;ACUC,FARI,MASS;SEM DESCRICAO NA ORIGEM
317.012.001;7896779617029;Potes;2;capacidade 500 ml;Marmita Fit - Transparente 500ml;Marmita Fit;11;34;;TRP;EMP,TRP;ACUC,FARI,MASS,BISC,TEMP;
317.012.003;7896779631711;Potes;2;capacidade 500 ml;Marmita Fit - Branco 500ml (317.012.001);Marmita Fit;11;34;;;EMP;ACUC,FARI,MASS,BISC,TEMP;SEM DESCRICAO NA ORIGEM
319.006.P01;7896779631964;POP;1;capacidade 250 ml;Kit POP com 6 Potes Quadrados - Transparente 250ml;Kit POP c/ 6 Potes Quadrados;28;28;com>c/;TRP;LAV,EMP,TRP;ACUC,FARI,MASS;SEM DESCRICAO NA ORIGEM
319.012.001;7896779619047;Potes;1;capacidade 250 ml;Pote Modular - Transparente 250ml;Pote Modular;12;28;;EMP,ATX,TRP;LAV,EMP,TRP;ACUC,FARI,MASS,BISC,TEMP;
