referencia;codprod;descrprod;nomegrupo;peso_bruto;peso_liquido;unidade_medida;qtd_por_embalagem
427.024.003;8025;ESCORREDOR QUADRADO - PRETO;Decor-Chef;0.18125;0.18;PC;24
453.012.002;7139;LIXEIRA RATTAN COM CLIQUE - BRANCA 4,5L;Linha Lixeiras;0.2425;0.24;PC;12
256.024.086;11917;CESTO ALONGADO  JUTA - CHUMBO 3,2L;Linha Organização;0.55025;0.549;PC;24
449.006.086;11993;LIXEIRA JUTA COM PEDAL - CHUMBO 6L;Linha Lixeiras;0.755;0.75;PC;6
139.012.003;13818;POTE COM 3 DIVISORIAS - PRETO 1,1L;Linha Potes;0.1325;0.13;PC;12
257.012.086;11919;CESTO ALONGADO  JUTA - CHUMBO 4,5L;Linha Organização;0.1815;0.179;PC;12
2540.012.003;14069;KIT POTES ALTOS RETANG. COM 3 PECAS - PRETO (025/4);Linha Potes;0.4235;0.421;CJ;12
093.012.002;3311;CESTINHO VERSATIL - BRANCO 4,2L (093/B);Linha Organização;0.1125;0.11;PC;12
202.006.001;14050;FRASQUEIRA OVAL COM BANDEJA - ROSA 4,4L;Linha Frasqueiras;0.325;0.32;PC;6
239.012.003;6644;POTE ACOPLADO PRETO C/ROSCA 3L;Linha Potes;0.1425;0.14;PC;12
088.012.002;9611;JARRA ESTRELA COM TAMPA - BRANCO 1,6L;Linha Jarras;0.1025;0.1;PC;12
112.012.002;9613;COPO MEDIDOR COM TAMPA - BRANCO 500ML;Linha Jarras;0.0525;0.05;PC;12
305.006.520;4253;TRAVESSA OVAL CANELADA COM TAMPA - BRANCA 650ML;Linha Potes;0.075;0.07;PC;6
188.012.002;3337;ESCORREDOR DE PRATOS SUPER PRATICO - BRANCO (188/B);Linha Cozinha;0.2425;0.24;PC;12
314.006.562;4366;ORGANIZADOR DE COSMETICOS COM 1 GAVETA - ROSA;Linha Organização;0.325;0.32;PC;6
381.012.002;8636;ORGANIZADOR LONGO MODULAR - BRANCO 850ML;Linha Organização;0.5515;0.549;PC;12
383.012.002;8644;ORGANIZADOR RETANGULAR MODULAR - BRANCO 1,450L;Linha Organização;0.5515;0.549;PC;12
399.012.007;9722;PORTA LEITE EM PO - ROSA 280ML;Linha Cozinha;0.0477;0.045;PC;12
381.012.001;8732;ORGANIZADOR LONGO MODULAR - TRANSPARENTE 850ML;Linha Organização;0.5515;0.549;PC;12
205.012.001;4357;POTE RETANGULAR FIT - TRANSPARENTE 450ML;Linha Potes;0.0525;0.05;PC;12
398.004.002;9717;LIXEIRA FLAT COM CLIQUE - BRANCA 12L;Linha Lixeiras;0.4725;0.465;PC;4
235.012.002;6632;POTE ACOPLADO COM ROSCA - BRANCO 500ML;Linha Potes;0.0625;0.06;PC;12
015.012.002;6547;RALADOR PRATIC COM POTE - BRANCO 420ML;Linha Cozinha;0.0625;0.06;PC;12
234.012.003;14048;POTE RASO COM TRAVAS - PRETO 2,3L;Linha Potes;0.1625;0.16;PC;12
260.012.086;11939;CAIXA ORGANIZADORA BAIXA RATTAN COM TAMPA - CHUMBO 4,5L;Linha Organização;0.2925;0.29;PC;12
231.006.862;3600;KIT POTE RASO COLORATTO COM 3 PECAS - 270ML (291/K);Linha Coloratto;0.045;0.04;PC;6
094.012.003;6583;ACUCAREIRO DOCURA - PRETO;Linha Cozinha;0.0625;0.06;PC;12
554.012.001;9911;POTE COM TAMPA FIXA - TRANSPARENTE 330ML;Linha Potes;0.0175;0.015;PC;12
236.012.003;6636;POTE ACOPLADO PRETO C/ROSCA 1L;Linha Potes;0.0825;0.08;PC;12
094.012.002;6582;ACUCAREIRO DOCURA - BRANCO;Linha Cozinha;0.0625;0.06;PC;12
120.006.001;14104;FRASQUEIRA COM BANDEJA - ROSA 2,8L;Linha Frasqueiras;0.265;0.26;PC;6
458.024.003;8145;PORTA LEITE DE SAQUINHO - PRETO;Decor-Chef;0.18125;0.18;PC;24
232.006.861;11891;KIT POTE RASO COLORATTO COM 2 PECAS - 500ML;Linha Coloratto;0.125;0.12;PC;6
050.012.003;13977;POTE PREMIER COM 4 DIVISORIAS - PRETO 1,1L;Linha Potes;0.1325;0.13;PC;12
713.012.001;12014;ORGANIZADOR DE GELADEIRA FLAT - 3,75L;Linha Geladeira;0.14775;0.14525;PC;12
423.024.002;9208;CONJUNTO BICO RUSSO CONFEITEIRO COM 5 PECAS - BRANCO;Decor-Confeitaria;0.2925;0.028;PC;24
258.006.086;11923;CESTO ALONGADO JUTA - CHUMBO 7L;Linha Organização;0.315;0.31;PC;6
548.024.086;12011;SABONETEIRA COM TELA FLAT - CHUMBO;Linha Banheiro;0.02525;0.024;PC;24
156.012.003;13983;POTE ALTO COM TRAVAS - PRETO 2,2L;Linha Potes;0.1425;0.14;PC;12
126.006.001;14009;FRASQUEIRA COM BANDEJA - ROSA 6,2L;Linha Frasqueiras;0.401;0.396;PC;6
238.012.003;6641;POTE ACOPLADO PRETO C/ROSCA 2L;Linha Potes;0.1125;0.11;PC;12
261.006.086;11940;CAIXA ORGANIZADORA BAIXA RATTAN COM TAMPA - CHUMBO 7L;Linha Organização;0.375;0.37;PC;6
098.012.999;14016;BALDE LIMPEX - SORTIDO 8L;Linha Limpeza;0.2925;0.29;PC;12
383.012.001;8734;ORGANIZADOR RETANGULAR MODULAR - TRANSPARENTE 1,450L;Linha Organização;0.5515;0.549;PC;12
2580.012.003;14039;POTE ALTO RETANGULAR - PRETO 3L;Linha Potes;0.1525;0.15;PC;12
236.012.667;150;POTE SAL GROSSO ACOPLADO COM ROSCA - 1L (236/SG);Linha Potes;0.0775;0.075;PC;12
311.012.002;11949;MAMITA E POTE 2 EM 1 - BRANCO 780ML;Linha Potes;0.1225;0.12;PC;12
096.012.086;11860;ESCORREDOR DE PRATOS RATTAN - CHUMBO;Linha Cozinha;0.2695;0.267;PC;12
369.006.001;6764;KIT PORTA FRIOS COM 3 PECAS;Linha Potes;0.085;0.08;PC;6
712.012.001;12013;ORGANIZADOR DE GELADEIRA FLAT - 2,35L;Linha Geladeira;0.11083;0.10833;PC;12
155.006.861;12035;KIT POTE ALTO COLORATTO COM 2 PECAS - 850 ML;Linha Coloratto;0.11;0.105;CJ;6
384.012.003;8647;ORGANIZADOR PEQUENO MODULAR - PRETO 400ML;Linha Organização;0.5515;0.549;PC;12
232.006.862;11892;KIT POTE RASO COLORATTO COM 3 PECAS - 500ML;Linha Coloratto;0.195;0.19;PC;6
131.012.009;13985;FRASQUEIRA MEDICAMENTOS - VERMELHA 2,2L;Linha Frasqueiras;0.2605;0.258;PC;12
259.012.086;11937;CAIXA ORGANIZADORA BAIXA RATTAN COM TAMPA - CHUMBO 3,2L;Linha Organização;0.2025;0.2;PC;12
427.024.002;8024;ESCORREDOR QUADRADO - BRANCO;Decor-Chef;0.18125;0.18;PC;24
155.012.003;13979;POTE ALTO COM TRAVAS - PRETO 850ML;Linha Potes;0.0825;0.08;PC;12
233.012.003;14036;POTE RASO COM TRAVAS - PRETO 1,1L;Linha Potes;0.1025;0.1;PC;12
384.012.001;8735;ORGANIZADOR PEQUENO MODULAR - TRANSPARENTE 400ML;Linha Organização;0.5515;0.549;PC;12
352.012.001;6100;KIT POTES MODULARES COM 3 PECAS - TRANSPARENTE 450ML;Linha Potes;0.0725;0.07;PC;12
686.004.M00;12045;TABUA DE SERVIR TECA COM 3 MOLHEIRAS;Teca Petisqueira;0.830676;0.830676;PC;4
191.012.003;14008;POTE COM 2 DIVISORIAS - PRETO 720ML;Linha Potes;0.1025;0.1;PC;12
301.012.003;14055;POTE RASO RETANGULAR - PRETO 950ML;Linha Potes;0.0925;0.09;PC;12
207.012.547;4289;JARRA MEDIDORA TOP MIX - VERMELHO 850ML;Linha Jarras;0.0825;0.08;PC;12
384.012.002;8646;ORGANIZADOR PEQUENO MODULAR - BRANCO 400ML;Linha Organização;0.5515;0.549;PC;12
3770.012.003;14060;POTE QUADRADO COM TRAVAS - PRETO 1,8L;Linha Potes;0.1325;0.13;PC;12
390.012.M00;8865;TABUA COM CABO TECA - P;Teca Tábuas;0.455328;0.455328;PC;12
232.012.003;14037;POTE RASO COM TRAVAS - PRETO 500ML;Linha Potes;0.0725;0.07;PC;12
453.012.086;11998;LIXEIRA RATTAN COM CLIQUE - CHUMBO 4,5L;Linha Lixeiras;0.2425;0.24;PC;12
820.006.002;12065;ESCORREDOR DE PRATOS FLAT - BRANCO;Linha Cozinha;0.4965;0.4915;PC;6
235.012.003;6633;POTE ACOPLADO PRETO C/ROSCA 500ML;Linha Potes;0.0625;0.06;PC;12
547.012.003;9882;PORTA ALGODAO E COTONETE FLAT - PRETO;Linha Banheiro;0.0475;0.045;PC;12
547.012.002;9881;PORTA ALGODAO E COTONETE FLAT - BRANCO;Linha Banheiro;0.0475;0.045;PC;12
3780.012.003;14035;POTE QUADRADO COM TRAVAS - PRETO 860ML;Linha Potes;0.0725;0.07;PC;12
382.012.001;8733;Organizador Quadrado Modular - Transparente 900ml;Linha Organização;0.5515;0.549;PC;12
625.002.M00;10874;TABUA MULTIUSO MADEIRA TECA GRANDE GOURMET;Teca Tábuas;2.68863;2.68863;PC;2
188.012.086;11876;ESCORREDOR DE PRATOS SUPER PRATICO - CHUMBO;Linha Cozinha;0.2425;0.24;PC;12
6120.006.P01;14076;KIT POP COM 6 POTES - TRANSPARENTE 500ML;POP;0.0736;0.073;CJ;6
154.012.003;13822;POTE ALTO COM TRAVAS - PRETO 460ML;Linha Potes;0.0525;0.05;PC;12
311.012.001;13821;MAMITA E POTE 2 EM 1 - TRANSPARENTE 780ML;Linha Potes;0.1225;0.12;PC;12
400.024.002;8037;ABRIDOR DE TAMPAS - BRANCO;Decor-Chef;0.18125;0.18;PC;24
054.004.003;11346;CESTO DE ROUPAS 47 LT COM ALCA;Linha Limpeza;1.3375;1.33;PC;4
820.006.003;12066;ESCORREDOR DE PRATOS FLAT - PRETO;Linha Cozinha;0.4965;0.4915;PC;6
236.012.668;13992;POTE CAFÉ ACOPLADO COM ROSCA - 1L;Linha Potes;0.0775;0.075;PC;12
382.012.003;8643;ORGANIZADOR QUADRADO MODULAR - PRETO 900ML;Linha Organização;0.5515;0.549;PC;12
429.024.002;8028;ESCORREDOR MEIA LUA - BRANCO;Decor-Chef;0.18125;0.18;PC;24
010.001.003;13998;CAIXA EXPOSITORA COM 40 KITS COM 10 CABIDES - PRETO;Linha Organização;0.1325;0.13;CJ;1
547.012.086;12010;PORTA ALGODAO E COTONETE FLAT - CHUMBO;Linha Banheiro;0.0475;0.045;PC;12
552.002.M02;12068;CESTO DE ROUPAS EMPILHAVEL COM TAMPA TECA - BRANCO 43,8L;Teca Organização;1.44305;1.44305;PC;2
207.012.002;9617;JARRA MEDIDORA TOP MIX - BRANCO 850ML;Linha Jarras;0.0825;0.08;PC;12
684.004.M00;12043;TABUA DE SERVIR TECA COM CABO E 2 MOLHEIRAS;Teca Petisqueira;0.9548;0.9548;PC;4
822.006.003;12071;ESCORREDOR DE TALHERES FLAT - PRETO;Linha Cozinha;0.07833;0.07333;PC;6
300.012.003;14128;POTE RASO RETANGULAR - PRETO 460ML;Linha Potes;0.0425;0.04;PC;12
689.004.M00;12048;TABUA SERVIR TECA COM CABO E 1 MOLHEIRA;Teca Petisqueira;0.725648;0.725648;PC;4
822.006.002;12070;ESCORREDOR DE TALHERES FLAT - BRANCO;Linha Cozinha;0.07833;0.07333;PC;6
562.004.M00;9967;TABUA DE PIZZA COM CABO TECA;Teca Tábuas;2.232;2.232;PC;4
034.012.003;14007;POTE MONACO COM 3 DIVISORIAS - PRETO 1L;Linha Potes;0.1325;0.13;PC;12
205.012.003;13819;POTE RETANGULAR FIT - PRETO 450ML;Linha Potes;0.0525;0.05;PC;12
319.006.P01;14058;KIT POP COM 6 POTES QUADRADOS - TRANSPARENTE 250ML;POP;0.0425;0.04;CJ;6
382.012.002;8642;ORGANIZADOR QUADRADO MODULAR - BRANCO 900ML;Linha Organização;0.5515;0.549;PC;12
555.012.003;14043;POTE COM TAMPA FIXA - PRETO 600ML;Linha Potes;0.05917;0.05667;PC;12
380.024.003;14013;ORGANIZADOR MINI MODULAR - PRETO 150ML;Linha Organização;0.549;0.549;PC;12
317.006.P01;14057;KIT POP COM 5 MARMITAS FITS - TRANSPARENTE 500ML;POP;0.1125;0.11;CJ;6
321.012.003;6671;POTE MODULAR - PRETO 800ML;Linha Potes;0.1265;0.124;PC;12
231.006.P01;14052;KIT POP COM 6 POTES RETANGULAR - TRANSPARENTE 270ML;POP;0.0425;0.04;CJ;6
380.024.002;14012;ORGANIZADOR MINI MODULAR - BRANCO 150ML;Linha Organização;0.549;0.549;PC;24
2290.012.003;14152;POTE REDONDO COM TRAVAS - PRETO 450ML;Linha Potes;0.0525;0.05;PC;12
2500.012.003;14040;POTE ALTO RETANGULAR - PRETO 868ML;Linha Potes;0.0725;0.07;PC;12
167.010.003;14006;CABIDE STILL COM 10 PECAS - PRETO;Linha Organização;0.1525;0.15;CJ;12
682.004.M00;12041;PETISQUEIRA TECA COM 3 MOLHEIRAS;Teca Petisqueira;0.294078;0.294078;PC;4
429.024.003;8029;ESCORREDOR MEIA LUA - PRETO;Decor-Chef;0.18125;0.18;PC;24
235.012.671;14153;POTE ACOPLADO PRETO C/ROSCA - SAL 500ML;Linha Potes;0.0625;0.06;PC;12
227.036.998;14064;COPO INFANTIL COM ALCA - SORTIDO 320ML;Linha Infantil;0.045833;0.045;PC;36
2280.012.003;13810;POTE REDONDO COM TRAVAS - PRETO 1,1L;Linha Potes;0.0825;0.08;PC;12
236.012.672;13996;POTE AÇUCAR ACOPLADO COM ROSCA - 1L;Linha Potes;0.0775;0.075;PC;12
351.012.003;6665;KIT POTES MODULARES COM 3 PECAS - PRETO 250ML;Linha Potes;0.0395;0.037;CJ;12
231.012.003;13997;POTE RASO COM TRAVAS - PRETO 270ML;Linha Potes;0.0425;0.04;PC;12
3790.012.003;14061;POTE QUADRADO COM TRAVAS - PRETO 360ML;Linha Potes;0.0425;0.04;PC;12
205.006.P01;14075;KIT POP COM 6 POTES FITS - TRANSPARENTE 450ML;POP;0.0525;0.05;CJ;6
317.012.003;14140;MARMITA FIT - PRETO 500ML;Linha Potes;0.1125;0.11;PC;12
3760.012.003;14059;POTE QUADRADO COM TRAVAS - PRETO 3,7L;Linha Potes;0.2015;0.199;PC;12
556.012.003;14062;POTE COM TAMPA FIXA - PRETO 1L;Linha Potes;0.00858;0.00833;PC;12
323.006.003;6667;POTE MODULAR - PRETO 2,4L;Linha Potes;0.199;0.194;PC;6
010.010.003;13999;CABIDE COM 10 PECAS - PRETO;Linha Organização;0.1325;0.13;CJ;10
555.006.P01;14073;KIT POP COM 6 POTES - TRANSPARENTE 600ML;POP;0.05917;0.05667;CJ;6
319.012.003;6669;POTE MODULAR - PRETO 250ML;Linha Potes;0.0395;0.037;PC;12
685.004.M00;12044;TABUA DE SERVIR TECA COM 1 MOLHEIRA;Teca Petisqueira;0.721556;0.721556;PC;4
241.006.P01;14053;KIT POP COM 6 POTES COM VALVULA - TRANSPARENTE 460ML;POP;0.06425;0.063;CJ;6
563.004.M00;9968;TABUA DE PIZZA BROTINHO COM CABO TECA;Teca Tábuas;1.85814;1.85814;PC;4
554.006.P01;14072;KIT POP COM 6 POTES - TRANSPARENTE 330ML;POP;0.0175;0.015;CJ;6
303.012.003;14056;POTE RASO RETANGULAR - PRETO 3,2L;Linha Potes;0.2325;0.23;PC;12
184.010.003;13820;CABIDE COM 10 PECAS - PRETO;Linha Infantil;0.031875;0.03;CJ;10
552.002.M03;12069;CESTO DE ROUPAS EMPILHAVEL COM TAMPA TECA - PRETO 43,8L;Teca Organização;1.945;1.93;PC;2
550.036.999;14068;CANECA COM TAMPA SORTIDA 350ML;Linha Realce;0.0479;0.0454;PC;36
822.006.086;12072;ESCORREDOR DE TALHERES FLAT - CHUMBO;Linha Cozinha;0.07833;0.07333;PC;6
320.012.003;6672;POTE MODULAR - PRETO 450ML;Linha Potes;0.0735;0.071;PC;12
683.004.M00;12042;PETISQUEIRA TECA COM 2 MOLHEIRAS;Teca Petisqueira;0.198053;0.198053;PC;4
3790.006.P01;14071;KIT POP 6 POTES QUADRADOS - TRASNPARENTE 360ML;POP;0.0425;0.04;CJ;6
554.012.003;14042;POTE COM TAMPA FIXA - PRETO 330ML;Linha Potes;0.0175;0.015;PC;12
820.006.086;12067;ESCORREDOR DE PRATOS FLAT - CHUMBO;Linha Cozinha;0.4965;0.4915;PC;6
236.012.671;13995;POTE FEIJÃO ACOPLADO COM ROSCA - 1L;Linha Potes;0.0775;0.075;PC;12
236.012.669;13993;POTE ARROZ ACOPLADO COM ROSCA - 1L;Linha Potes;0.0775;0.075;PC;12
550.036.998;14067;CANECA SEM TAMPA SORTIDA 350ML;Linha Realce;0.0479;0.0454;PC;36
438.006.M00;14161;TABUA DE CORTE TECA EXTRA G;Teca Tábuas;1.92324;1.92324;PC;6
380.024.001;14011;ORGANIZADOR MINI MODULAR - TRANSPARENTE 150ML;Linha Organização;0.549;0.549;PC;24
549.024.999;14066;COPO COM TAMPA SORTIDO 600ML;Linha Realce;0.0597;0.0572;PC;24
190.012.003;14070;KIT POTES ALTOS COM TRAVAS E 3 PECAS - PRETO;Linha Potes;0.2245;0.222;CJ;12
549.024.998;14065;COPO SEM TAMPA SORTIDO 600ML;Linha Realce;0.0597;0.0572;PC;24
236.012.670;13994;POTE FARINHA ACOPLADO COM ROSCA - 1L;Linha Potes;0.0775;0.075;PC;12
821.004.003;14074;KIT POTE TAMPA FIXA COM 3 PECAS - PRETO;Linha Potes;0.185;0.1775;CJ;4
856.004.N03;14179;PRATELEIRA MULTIUSO G 3P;Nitron Mob;0.53;0.525;PC;4
857.004.N03;14182;PRATELEIRA MULTIUSO G 4P;Nitron Mob;0.53;0.525;PC;4
860.004.N03;14181;PRATELEIRA MULTIUSO M 4P;Nitron Mob;0.53;0.525;PC;4
863.004.N03;14180;PRATELEIRA MULTIUSO P 4P;Nitron Mob;0.53;0.525;PC;4
443.006.M00;14169;TABUA DE CORTE G COM ALÇA DE METAL;Teca Tábuas;1.44584;1.44584;PC;6
852.004.N03;14173;SAPATEIRA GRANDE;Nitron Mob;0.53;0.525;PC;4
859.004.N03;14176;PRATELEIRA MULTIUSO M 3P;Nitron Mob;0.53;0.525;PC;4
862.004.N03;14175;PRATELEIRA MULTIUSO P 3P;Nitron Mob;0.53;0.525;PC;4
855.004.N03;14178;PRATELEIRA MULTIUSO G 2P;Nitron Mob;0.53;0.525;PC;4
858.004.N03;14177;PRATELEIRA MULTIUSO M 2P;Nitron Mob;0.53;0.525;PC;4
861.004.N03;14174;PRATELEIRA MULTIUSO P 2P;Nitron Mob;0.53;0.525;PC;4
851.004.N03;14172;SAPATEIRA PEQUENA;Nitron Mob;0.53;0.525;PC;4
006.030.998;14063;COPO BABY COM TAMPA - CACHORRO/PANDA 250ML;Linha Infantil;0.032;0.031;PC;30
695.002.M00;14164;TABUA MULTIUSO MADEIRA TECA QUADRADA GOURMET;Teca Tábuas;1.888443;1.888443;PC;2
850.004.N03;14170;ARARA DE ROUPA NITRON-MOB;Nitron Mob;0.53;0.525;PC;4
853.004.N03;14171;KIT SUPORTE DECORATIVO (M);Nitron Mob;0.53;0.525;PC;4
